,Unnamed: 0,video_id,video_title,upload_date,view_count,like_count,comment_count,mean_weighted_sentiment_score,median_weighted_sentiment_score,std_weighted_sentiment_score,sentiment_label,days_since_upload,views_per_day,comment_count_per_day
48,48,XUKTNl8i9uk,The science behind my new YouTube thumbnail…,2022-07-11,183171,12508,72,0.189459424235604,0.1526386260986328,0.6434038445662472,Positive,116.0,1579.06,0.62
49,49,jjhNrouKLQ4,Taste testing the most expensive water on Amazon,2022-07-07,3095865,340768,1515,0.0653773787058728,0.1359499812126159,0.6424856030754718,Neutral,120.0,25798.88,12.62
50,50,tFmEMzQFPYk,I bought the most expensive water on Amazon,2022-07-05,7633883,623213,4078,-0.207682886804408,0.0997994780540466,0.5539217512335939,Negative,122.0,62572.81,33.43
51,51,gKACwcBbsQ4,I tried going viral as a small brand,2022-07-01,3554636,318865,536,-0.2164547143497533,0.1038232207298278,0.5881616851490497,Negative,126.0,28211.4,4.25
52,52,INCQBEu_juI,I’m building a sunglasses brand to compete with Rayban (ep.2),2022-06-28,771667,57089,417,0.022003584742188,0.1367790341377258,0.6104890075111741,Neutral,129.0,5981.91,3.23
53,53,ER0Nmtf1ZMw,I tried upgrading my money making hotspot (helium update PT.5),2022-06-25,2370984,154716,651,-0.2204841205756908,0.0965594291687011,0.53952686656086,Negative,132.0,17962.0,4.93
54,54,_4Q9pThNjL4,I Tried Relaunching My Failed Business - Ep.1,2022-06-24,16078,877,85,0.395276640201437,0.1855186581611633,0.5188182238554973,Positive,133.0,120.89,0.64
55,55,ADNuLSFOOXk,They were trying to disguise their side hustle…,2022-06-24,231893,11616,33,-0.1008457558022605,0.1004503548145294,0.6355769483509515,Negative,133.0,1743.56,0.25
56,56,0JqbAZhncZ8,Did this seller scam me with her rolex?,2022-06-22,853458,65159,152,-0.2136794072445308,-0.6006096601486206,0.6581204036905848,Negative,135.0,6321.91,1.13
57,57,HuzI5-Cz6sM,I tried finding profitable flips (ELON MUSK EDITION),2022-06-18,806622,61655,173,-0.132597137552447,0.120970869064331,0.5485577944983095,Negative,139.0,5803.04,1.24
58,58,3C-3pbYzPCg,I tried hyper realistic VR gaming (zombie edition),2022-06-16,453980,24664,98,0.3577919686541838,0.1762799739837646,0.4275114631626662,Positive,141.0,3219.72,0.7
59,59,tDEwiQlahfU,Surprising her with the cheapest rolex on eBay,2022-06-13,1316230,90274,1289,-0.1673259424708657,-0.4823541045188904,0.6787264378567877,Negative,144.0,9140.49,8.95
60,60,0gJlInD47gw,Confronting the seller of the “cheapest rolex on ebay”,2022-06-10,1234922,80809,626,-0.2633803059681011,-0.6552845239639282,0.6857723004558544,Negative,147.0,8400.83,4.26
61,61,auxv8xyea9c,Is the cheapest rolex on eBay real?,2022-06-09,30106646,2002289,2162,-0.2011166806387867,0.1018722116947173,0.5575789719326769,Negative,148.0,203423.28,14.61
62,62,SHFWyvLzUxU,I Bought The Cheapest Rolex On eBay,2022-06-08,221018,14921,1410,0.0999112773228456,0.135564512014389,0.7002487784763035,Neutral,149.0,1483.34,9.46
63,63,hMVUdFEN74U,Unboxing the cheapest rolex on eBay,2022-06-03,546741,30044,234,-0.1208730538944145,0.1074641406536102,0.6301286324126366,Negative,154.0,3550.27,1.52
64,64,KlTyRgVWqmI,I bought the cheapest rolex on eBay…,2022-06-02,1160878,54112,293,-0.230201967037161,0.0965594291687011,0.554523386535649,Negative,155.0,7489.54,1.89
65,65,TaLnBn-qTAE,Did I find real Yeezy slides?,2022-05-30,4074711,308838,549,-0.1402740389952732,0.1099249958992004,0.5626569971081177,Negative,158.0,25789.31,3.47
66,66,MKD8iBdT2TQ,Asking Rolex dealers if I can film in their store,2022-05-28,228490,11054,67,-0.1140841959611229,0.1187528491020201,0.5285920490127536,Negative,160.0,1428.06,0.42
67,67,SX-An2mHmm0,I looked for profit in a RICH CITY thrift store,2022-05-27,1861965,115574,744,-0.3291312329220833,-0.6236816644668579,0.5905892888586094,Negative,161.0,11565.0,4.62
68,68,IAI1UswVJGA,My Money Printing Tablet Farm Journey (How much I made),2022-05-24,32861,1413,114,0.2350858149649221,0.1607171177864075,0.4991631067826085,Positive,164.0,200.37,0.7
69,69,u6ZpmfV0Zck,I tried making money with unclaimed mail,2022-05-22,3214566,193022,728,-0.1021894233522715,0.1274324357509613,0.5481166368134271,Negative,166.0,19364.86,4.39
70,70,7s_gTXbXBcU,Make this ONE change to 2x your eBay/Amazon sales,2022-05-20,1075509,63755,202,0.0680452238034157,0.1321988821029663,0.6085529732947985,Neutral,168.0,6401.84,1.2
71,71,WW5xJ0yPdWE,My sneaky plan to monetize my meme page…,2022-05-18,252723,15479,176,0.3011921868069481,0.1534915804862976,0.5342700874799108,Positive,170.0,1486.61,1.04
72,72,nsvTEzFhwl4,I just UPGRADED my money making hotspot (helium update PT.4),2022-05-13,3348675,219116,774,-0.242490879704384,0.0984283804893493,0.5227315371271138,Negative,175.0,19135.29,4.42
73,73,eT60aL2ysCI,How my failed business started my new career…,2022-05-11,196201,12555,68,0.367862201907805,0.188392573595047,0.5755169619615921,Positive,177.0,1108.48,0.38
74,74,ZaxsNeUUoiM,I tried dropshipping… here’s how much I made,2022-05-10,267343,16393,91,-0.0344487615088199,0.1227238774299621,0.6187837985522747,Neutral,178.0,1501.93,0.51
75,75,dj9EQMAvrXQ,I tried finding profitable flips at Walmart (in a RICH city 💰),2022-05-06,2116905,123699,567,-0.1978140915379576,0.1003610849380493,0.5228906392371541,Negative,182.0,11631.35,3.12
76,76,SI_89jAAohQ,I bought a Crushmetric SwitchPen (for research),2022-05-02,192329,13506,56,0.3712562016078404,0.1769008636474609,0.574896644152198,Positive,186.0,1034.03,0.3
77,77,9EzqbL7guy0,I bought a Pokémon collection to flip for profit (AGAIN),2022-04-29,1533920,86320,457,-0.0093819735117599,0.1276485443115234,0.5331690776689026,Neutral,189.0,8115.98,2.42
78,78,2xQwD68FklU,My biggest viral video flop all time…,2022-04-26,155055,8807,32,0.1623489787181218,0.1439114093780517,0.6251084502650225,Positive,192.0,807.58,0.17
79,79,pjmSeIDMKdY,Jason Derulo DM’d me… (here’s why),2022-04-22,149995,8124,55,-0.0709398070971171,0.1189093232154846,0.6252365108940245,Neutral,196.0,765.28,0.28
80,80,bVn_DCwTG-w,I tried making a pro commercial for under $500,2022-04-21,150244,10616,105,0.0274875765755062,0.1356349110603332,0.6377098306709669,Neutral,197.0,762.66,0.53
81,81,D2SYEbTGa7Q,Jidion’s secret to growing 4mil subs in 1 year…,2022-04-18,96684,4489,30,0.2227262270450592,0.1397615671157837,0.4508999708026275,Positive,200.0,483.42,0.15
82,82,rrH1T6KWaYA,I tried flipping sneakers from the Nike outlet,2022-04-15,5004675,306074,852,-0.1834381425513372,0.1030622959136963,0.5241772510334952,Negative,203.0,24653.57,4.2
83,83,OnW8nR2t26o,How I used 1 viral video to grow my business FAST,2022-04-13,144830,8412,39,0.1976426272556699,0.1493651509284973,0.5679898765483893,Positive,205.0,706.49,0.19
84,84,yLjzoQCsQ14,My biggest failure as an entrepreneur…,2022-04-12,113690,7247,94,0.2741504803299903,0.1552396893501282,0.6283386414081017,Positive,206.0,551.89,0.46
85,85,fYOSzzEX8eU,Upgrading my office into a video studio for $100,2022-04-08,112897,6304,44,0.5373979266732931,0.8549612760543823,0.5095295338433014,Positive,210.0,537.6,0.21
86,86,tWFr9mWxoeA,Comparing PRIME to Powerade (will this brand win?),2022-04-05,93456,5435,66,-0.2515015417621249,-0.1959040433168411,0.551918812300022,Negative,213.0,438.76,0.31
87,87,nMCi9ByUtac,I tried finding profitable flips at Walmart AGAIN,2022-04-01,2057610,128809,470,-0.2479140062429752,0.0842325657606124,0.5687967947535683,Negative,217.0,9482.07,2.17
88,88,zKbnMJEpVkk,Giving streamers with 0 viewers $ to buy bitcoin,2022-03-31,122581,7084,89,0.2267968016155695,0.1509290933609008,0.5880716727378946,Positive,218.0,562.3,0.41
89,89,RQilDfdV1vg,Unboxing my 100k play button  my best YT advice,2022-03-29,76442,5082,57,0.5419730012615521,0.9173637330532074,0.5816334916457858,Positive,220.0,347.46,0.26
90,90,go1KYCtrl2Q,I asked a $100m CEO: “is college worth it?”,2022-03-26,103689,5042,49,0.1759562909603118,0.1350775122642517,0.5737751121276848,Positive,223.0,464.97,0.22
91,91,m0PtxJF7Bh4,I tried finding profitable flips at Goodwill…,2022-03-24,1220806,82160,785,-0.2901634307142715,-0.570060670375824,0.602946132960919,Negative,225.0,5425.8,3.49
92,92,CqwErPqMwew,How I find niche $ making products on eBay,2022-03-17,116564,5882,52,0.1784214046266344,0.1492742538452148,0.569584130675348,Positive,232.0,502.43,0.22
93,93,z9MWIpKlhG8,Why I spent $3k on a full send metacard NFT (Nelk),2022-03-15,508914,18276,441,-0.3237472745148759,-0.5851634740829468,0.5609282810414026,Negative,234.0,2174.85,1.88
94,94,K6TzzlrmSMA,How I grew from 1k-100k subscribers in 1 week,2022-03-12,88116,4392,48,0.2771195530891418,0.1673625230789184,0.6396114000301691,Positive,237.0,371.8,0.2
